process_noise,measurement_noise,decay_rate,pinn_weight,mae,rmse,detection_rate,false_alarm_rate,peak_capture,n_exceedances,n_false_alarms,objective_score
0.1,0.01,0.3,0.9,0.3567385070277604,1.3663286549964802,0.0,0.0010460251046025104,0.0,5,1,55.07343975161476
0.1,0.01,0.5,0.1,0.35479410858590155,1.367774109833697,0.0,0.0010460251046025104,0.0,5,1,55.073050871926384
0.1,0.01,0.5,0.3,0.35398209954864013,1.3672307522074196,0.0,0.0010460251046025104,0.0,5,1,55.07288847011893
0.1,0.01,0.5,0.5,0.3540287014647416,1.366782513008441,0.0,0.0010460251046025104,0.0,5,1,55.072897790502154
0.1,0.01,0.5,0.7,0.3547423704925688,1.3664294858438069,0.0,0.0010460251046025104,0.0,5,1,55.07304052430772
0.1,0.01,0.5,0.9,0.35586096545290236,1.3661717445236419,0.0,0.0010460251046025104,0.0,5,1,55.07326424329979
0.1,0.01,0.7,0.1,0.3557723671308355,1.3676991758253274,0.0,0.0010460251046025104,0.0,5,1,55.073246523635376
0.1,0.01,0.7,0.3,0.35537029618132654,1.3674190751070803,0.0,0.0010460251046025104,0.0,5,1,55.073166109445474
0.1,0.01,0.7,0.5,0.35534915666563904,1.3671767306427802,0.0,0.0010460251046025104,0.0,5,1,55.07316188154233
0.1,0.01,0.7,0.7,0.3556401593326101,1.3669721625133462,0.0,0.0010460251046025104,0.0,5,1,55.07322008207573
0.1,0.01,0.7,0.9,0.3562297858634133,1.366805387680595,0.0,0.0010460251046025104,0.0,5,1,55.07333800738189
0.1,0.01,0.9,0.1,0.3578649026979307,1.3685311446804895,0.0,0.0010460251046025104,0.0,5,1,55.07366503074879
0.1,0.01,0.9,0.3,0.35780695432799964,1.368456484424811,0.0,0.0010460251046025104,0.0,5,1,55.0736534410748
0.1,0.01,0.9,0.5,0.35777852404196825,1.368386544839502,0.0,0.0010460251046025104,0.0,5,1,55.0736477550176
0.1,0.01,0.9,0.7,0.3577663161605834,1.3683213266484318,0.0,0.0010460251046025104,0.0,5,1,55.073645313441325
0.1,0.01,0.9,0.9,0.3577743109965955,1.3682608305267363,0.0,0.0010460251046025104,0.0,5,1,55.07364691240853
0.1,0.05,0.1,0.1,0.33857265304820816,1.3485230484215087,0.0,0.0,0.0,5,0,55.06771453060964
0.1,0.05,0.1,0.3,0.33746792742646103,1.3461792119313662,0.0,0.0,0.0,5,0,55.067493585485295
0.1,0.05,0.1,0.5,0.34196901337384394,1.3445611587528044,0.0,0.0,0.0,5,0,55.06839380267477
0.1,0.05,0.1,0.7,0.3502409953694964,1.343671510859566,0.0,0.0,0.0,5,0,55.0700481990739
0.1,0.05,0.1,0.9,0.36128036384573825,1.3435117152607894,0.0,0.0,0.0,5,0,55.07225607276915
0.1,0.05,0.3,0.1,0.3357073591450615,1.3462614504251016,0.0,0.0,0.0,5,0,55.06714147182901
0.1,0.05,0.3,0.3,0.33541816441551603,1.3444766290214951,0.0,0.0,0.0,5,0,55.067083632883104
0.1,0.05,0.3,0.5,0.33944033116460975,1.3431848458025732,0.0,0.0,0.0,5,0,55.067888066232925
0.1,0.05,0.3,0.7,0.3461247336360369,1.3423875241251082,0.0,0.0,0.0,5,0,55.06922494672721
0.1,0.05,0.3,0.9,0.3549022189746079,1.3420855452556553,0.0,0.0,0.0,5,0,55.07098044379492
0.1,0.05,0.5,0.1,0.3366495783317051,1.3453499428909867,0.0,0.0,0.0,5,0,55.06732991566634
0.1,0.05,0.5,0.3,0.3372751601834082,1.3441773151403895,0.0,0.0,0.0,5,0,55.06745503203668
0.1,0.05,0.5,0.5,0.3404439297044768,1.3432839212089203,0.0,0.0,0.0,5,0,55.068088785940894
0.1,0.05,0.5,0.7,0.3451974199740358,1.3426703184914535,0.0,0.0,0.0,5,0,55.06903948399481
0.1,0.05,0.5,0.9,0.35136231423188585,1.34233689067857,0.0,0.0,0.0,5,0,55.070272462846376
0.1,0.05,0.7,0.1,0.34291630918168353,1.3463720076550925,0.0,0.0,0.0,5,0,55.06858326183634
0.1,0.05,0.7,0.3,0.3438029592630645,1.3457831711260007,0.0,0.0,0.0,5,0,55.068760591852616
0.1,0.05,0.7,0.5,0.3456909461411135,1.3453036315304325,0.0,0.0,0.0,5,0,55.06913818922822
0.1,0.05,0.7,0.7,0.34835610511618664,1.3449335057787246,0.0,0.0,0.0,5,0,55.069671221023235
0.1,0.05,0.7,0.9,0.351624838816348,1.3446728842204698,0.0,0.0,0.0,5,0,55.07032496776327
0.1,0.05,0.9,0.1,0.35279092360830944,1.34981889782773,0.0,0.0,0.0,5,0,55.07055818472166
0.1,0.05,0.9,0.3,0.35315998674328125,1.34967759458511,0.0,0.0,0.0,5,0,55.070631997348656
0.1,0.05,0.9,0.5,0.35370588971727934,1.3495491736107275,0.0,0.0,0.0,5,0,55.070741177943454
0.1,0.05,0.9,0.7,0.35439571318896246,1.3494336385824668,0.0,0.0,0.0,5,0,55.07087914263779
