timestamp,max_concentration_edf,mean_concentration_edf,total_exposure_edf,peak_sensor_id,sensor_482010026,sensor_482010057,sensor_482010069,sensor_482010617,sensor_482010803,sensor_482011015,sensor_482011035,sensor_482011039,sensor_482016000,hazard_rank
2019-03-07 18:00:00,0.342783,0.16094066666666668,1.448466,sensor_482016000,0.1877,0.185133,0.103367,0.139183,0.144283,0.07185,0.1389,0.135267,0.342783,2489
2019-05-22 08:00:00,0.34265,,,sensor_482010026,0.59185,,0.0,,0.34265,0.054383,0.105317,0.060917,0.098367,2490
2019-03-17 13:00:00,0.342317,0.15571677777777776,1.4014509999999998,sensor_482016000,0.0948,0.1055,0.19365,0.06525,0.14025,0.0761,0.155717,0.227867,0.342317,2491
2019-10-05 14:00:00,0.3423,0.14172766666666667,1.275549,sensor_482011039,0.114133,0.076283,0.0665,0.101933,0.119567,0.168,0.0789,0.3423,0.207933,2492
2019-05-22 12:00:00,0.341583,,,sensor_482010026,0.82625,,0.0,,0.341583,0.0,0.111517,0.0,0.099917,2493
2019-04-03 15:00:00,0.341383,,,sensor_482011035,0.147383,0.148633,0.070783,,0.13,0.0,0.341383,0.309567,0.12975,2494
2019-11-19 22:00:00,0.3411,,,sensor_482010803,0.6517,0.591517,,0.1421,1.941583,,0.332917,0.212233,0.3411,2495
2019-04-07 06:00:00,0.341083,0.15569611111111112,1.401265,sensor_482011035,0.133083,0.315667,0.035883,0.027283,0.296017,0.056233,0.341083,0.072333,0.123683,2496
2019-08-18 15:00:00,0.341,0.11309455555555556,1.017851,sensor_482016000,0.2208,0.086917,0.0,0.023717,0.2955,0.0,0.0,0.049917,0.341,2497
2019-09-09 23:00:00,0.34085,,,sensor_482010057,0.9271,1.597183,,0.127467,0.34085,0.057133,0.087633,0.072483,0.153267,2498
2019-07-15 09:00:00,0.340367,0.13620744444444444,1.225867,sensor_482010617,0.185717,0.0,0.0,0.340367,0.253267,0.25615,0.098133,0.0,0.092233,2499
2019-08-03 17:00:00,0.34005,,,sensor_482010617,0.214983,,0.232933,0.34005,0.331,0.122517,0.27355,0.104383,0.286267,2500
2019-08-13 09:00:00,0.339483,,,sensor_482010617,0.10425,,0.02385,0.339483,0.12425,0.105767,0.0824,0.0,0.073083,2501
2019-02-17 11:00:00,0.3383,,,sensor_482016000,0.170567,0.17025,0.25225,0.2024,0.276833,0.257383,,,0.3383,2502
2019-02-17 12:00:00,0.338017,,,sensor_482016000,0.227417,0.12965,0.238417,0.20155,0.263267,0.280233,,,0.338017,2503
2019-04-15 14:00:00,0.337983,,,sensor_482010026,0.361083,0.256117,,0.337983,0.098467,0.333383,0.162167,0.1063,0.132567,2504
2019-01-12 13:00:00,0.33785,0.1459703333333333,1.3137329999999998,sensor_482011015,0.0757,0.0931,0.092667,0.1154,0.149483,0.33785,0.15535,0.134383,0.1598,2505
2019-12-17 17:00:00,0.337833,,,sensor_482010026,,0.111183,0.14325,0.045433,,0.0,0.1428,0.337833,0.170617,2506
2019-06-24 15:00:00,0.337433,0.08414811111111112,0.757333,sensor_482010026,0.337433,0.074217,0.0,0.03375,0.24325,0.0,0.0,0.0,0.068683,2507
2019-10-28 00:00:00,0.337117,,,sensor_482010026,,,0.331183,,,0.246517,,,0.337117,2508
