process_noise,measurement_noise,decay_rate,pinn_weight,mae,rmse,detection_rate
0.1,0.05,0.7,0.1,0.34291630918168353,1.3463720076550925,0.0
0.1,0.05,0.7,0.3,0.3438029592630645,1.3457831711260007,0.0
0.1,0.05,0.7,0.5,0.3456909461411135,1.3453036315304325,0.0
0.1,0.05,0.7,0.7,0.34835610511618664,1.3449335057787246,0.0
0.1,0.05,0.7,0.9,0.351624838816348,1.3446728842204698,0.0
0.1,0.05,0.8,0.1,0.3475365220191312,1.3477765656350118,0.0
0.1,0.05,0.8,0.3,0.3482035270579299,1.3474353339325862,0.0
0.1,0.05,0.8,0.5,0.34938010733893626,1.3471442867112426,0.0
0.1,0.05,0.8,0.7,0.35098276043545873,1.3469034565034994,0.0
0.1,0.05,0.8,0.9,0.35292309429137675,1.3467128702500082,0.0
0.1,0.05,0.9,0.1,0.35279092360830944,1.34981889782773,0.0
0.1,0.05,0.9,0.3,0.35315998674328125,1.34967759458511,0.0
0.1,0.05,0.9,0.5,0.35370588971727934,1.3495491736107275,0.0
0.1,0.05,0.9,0.7,0.35439571318896246,1.3494336385824668,0.0
0.1,0.05,0.9,0.9,0.3551680671688787,1.3493309928103638,0.0
0.1,0.1,0.5,0.1,0.3281721385176569,1.3410238329826292,0.0
0.1,0.1,0.5,0.3,0.3291798248539224,1.3389984770551495,0.0
0.1,0.1,0.5,0.5,0.3350223259868097,1.3375483291824255,0.0
0.1,0.1,0.5,0.7,0.34373271698243235,1.33667526148107,0.0
0.1,0.1,0.5,0.9,0.3545265989639334,1.33638040498444,0.0
0.1,0.1,0.6,0.1,0.3306884649090674,1.3403894006466837,0.0
0.1,0.1,0.6,0.3,0.332310885358199,1.3388828119512974,0.0
0.1,0.1,0.6,0.5,0.33729574986839006,1.3377683061140677,0.0
0.1,0.1,0.6,0.7,0.3442418210372616,1.3370468636065234,0.0
0.1,0.1,0.6,0.9,0.3529325452312155,1.3367191208510603,0.0
0.1,0.1,0.7,0.1,0.3354907371671272,1.3405902860233427,0.0
0.1,0.1,0.7,0.3,0.3374407206003358,1.3395856213022586,0.0
0.1,0.1,0.7,0.5,0.34115892697393757,1.3388128187211061,0.0
0.1,0.1,0.7,0.7,0.3461867823330893,1.338272279955291,0.0
0.1,0.1,0.7,0.9,0.35257182694401723,1.3379642865092098,0.0
0.1,0.1,0.8,0.1,0.3428158026446949,1.3418835313559159,0.0
0.1,0.1,0.8,0.3,0.344389904974171,1.3413227670543737,0.0
0.1,0.1,0.8,0.5,0.3467396432436615,1.3408685599126802,0.0
0.1,0.1,0.8,0.7,0.34989477956092285,1.3405210182447471,0.0
0.1,0.1,0.8,0.9,0.3537936486646362,1.3402802250273216,0.0
0.1,0.1,0.9,0.1,0.3518692828060528,1.344442313739933,0.0
0.1,0.1,0.9,0.3,0.35275137043721594,1.3442266272987209,0.0
0.1,0.1,0.9,0.5,0.35388031845743945,1.3440379585197366,0.0
0.1,0.1,0.9,0.7,0.3551896596328944,1.3438763187821285,0.0
0.1,0.1,0.9,0.9,0.3567582009308576,1.3437417178399307,0.0
